Name,Type,min,max,procoder,process
PLA200,c,0,105,1,y
PLA201,c,0,105,2,y
PLA202,c,0,105,3,y
PLA203,c,0,105,4,y
PowerGlitch,c,,,0,n
RALT,c,0,5000,0,y
RALT00,c,0,5000,1,y
RALT01,c,0,5000,2,y
RecordSerialNumber,c,,,0,n
Rudder00,c,-20,20,0,y
Rudder01,c,-20,20,1,y
Rudder02,c,-20,20,2,y
Rudder03,c,-20,20,3,y
SBE,b,0,1,0,y
SBE00,b,0,1,1,y
SBE01,b,0,1,2,y
SBE02,b,0,1,3,y
SBE03,b,0,1,4,y
SFV,b,0,1,0,y
SFV00,b,0,1,1,y
SFV01,b,0,1,2,y
SFV02,b,0,1,3,y
SFV03,b,0,1,4,y
STAB00,c,-7,16,0,y
STAB01,c,-7,16,1,y
STAB02,c,-7,16,2,y
STAB03,c,-7,16,3,y
TAT,c,-60,100,0,y
TAT00,c,-60,100,1,y
TAT01,c,-60,100,2,y
TAT02,c,-60,100,3,y
TAT03,c,-60,100,4,y
THD,b,0,1,0,y
THD00,b,0,1,1,y
THD01,b,0,1,2,y
THD02,b,0,1,3,y
THD03,b,0,1,4,y
TIME,c,,,0,y
UTC,c,,,0,n
UTCAge,c,,,0,n
WARN,b,0,1,0,y
WARN00,b,0,1,1,y
WARN01,b,0,1,2,y
WARN02,b,0,1,3,y
WARN03,b,0,1,4,y
WoW,b,0,1,0,y
WoW00,b,0,1,1,y
WoW01,b,0,1,2,y
WoW02,b,0,1,3,y
WoW03,b,0,1,4,y
